container,test_type,model,run,final verdict,input_tokens,output_tokens,total_tokens,FlakyGuard
elasticjobf0d,nio,claude,run 1,PASSED,17451,1418,18869,PASSED
quickcheck9a0,nio,claude,run 1,PASSED,8645,1155,9800,PASSED
quickcheckc1c2,nio,claude,run 1,PASSED,5888,940,6828,PASSED
elasticjob294,nio,claude,run 1,PASSED,32764,5404,38168,PASSED
elasticjob003,nio,claude,run 1,PASSED,46335,11901,58236,PASSED
hadoopbb6,nio,,,,,,,NOT PASSED
elasticjob0031,nio,,,,,,,PASSED
quickcheck9a5,nio,,,,,,,PASSED
quickcheckd214,nio,,,,,,,PASSED
quickcheckc1c72,nio,,,,,,,PASSED
