container,test_type,model,run,final verdict,input_tokens,output_tokens,total_tokens,,FlakyGuard
BOOKKEEPER-846,td,claude,run 1,PASSED,11145,2307,13452,,PASSED
COLLECTIONS-812,td,claude,run 1,FAILED,8156,5765,13921,,PASSED
BOOKKEEPER-709,td,claude,run 1,FAILED,38173,18666,56839,,PASSED
HBASE-27051,td,claude,run 1,PASSED,10845,2456,13301,,PASSED
ZOOKEEPER-4327-testGlobalOutstandingRequestThrottlingWithRequestThrottlerDisabled,td,claude,run 1,FAILED,37245,10628,47873,,PASSED
RATIS-1363,,,,,,,,,NOT PASSED
APEXCORE-617-testEmitTuplesOutsideStreamingWindow,,,,,,,,,PASSED
OOZIE-3683,,,,,,,,,NOT PASSED
CAMEL-12025-testToFunction,,,,,,,,,PASSED
YARN-9551,,,,,,,,replaced,PASSED
